N 0
N 12
lho lho 42
lho keren 25
lho kul 25
lho parah 32
keren lho 41
keren keren 29
keren kul 29
keren parah 38
kul lho 16
kul keren 13
kul kul 13
kul parah 12
parah lho 25
parah keren 16
parah kul 16
parah parah 26
N 13
lho lho 57
lho keren 42
lho kul 42
lho parah 50
keren lho 67
keren keren 41
keren kul 41
keren parah 58
kul lho 25
kul keren 16
kul kul 16
kul parah 26
parah lho 42
parah keren 25
parah kul 25
parah parah 32
N 14
lho lho 92
lho keren 57
lho kul 57
lho parah 84
keren lho 99
keren keren 67
keren kul 67
keren parah 82
kul lho 42
kul keren 25
kul kul 25
kul parah 32
parah lho 57
parah keren 42
parah kul 42
parah parah 50
N 15
lho lho 141
lho keren 92
lho kul 92
lho parah 114
keren lho 149
keren keren 99
keren kul 99
keren parah 134
kul lho 57
kul keren 42
kul kul 42
kul parah 50
parah lho 92
parah keren 57
parah kul 57
parah parah 84
N 16
lho lho 206
lho keren 141
lho kul 141
lho parah 184
keren lho 233
keren keren 149
keren kul 149
keren parah 198
kul lho 92
kul keren 57
kul kul 57
kul parah 84
parah lho 141
parah keren 92
parah kul 92
parah parah 114
N 17
lho lho 325
lho keren 206
lho kul 206
lho parah 282
keren lho 347
keren keren 233
keren kul 233
keren parah 298
kul lho 141
kul keren 92
kul kul 92
kul parah 114
parah lho 206
parah keren 141
parah kul 141
parah parah 184
N 18
lho lho 488
lho keren 325
lho kul 325
lho parah 412
keren lho 531
keren keren 347
keren kul 347
keren parah 466
kul lho 206
kul keren 141
kul kul 141
kul parah 184
parah lho 325
parah keren 206
parah kul 206
parah parah 282
N 19
lho lho 737
lho keren 488
lho kul 488
lho parah 650
keren lho 813
keren keren 531
keren kul 531
keren parah 694
kul lho 325
kul keren 206
kul kul 206
kul parah 282
parah lho 488
parah keren 325
parah kul 325
parah parah 412
N 20
lho lho 1138
lho keren 737
lho kul 737
lho parah 976
keren lho 1225
keren keren 813
keren kul 813
keren parah 1062
kul lho 488
kul keren 325
kul kul 325
kul parah 412
parah lho 737
parah keren 488
parah kul 488
parah parah 650
N 21
lho lho 1713
lho keren 1138
lho kul 1138
lho parah 1474
keren lho 1875
keren keren 1225
keren kul 1225
keren parah 1626
kul lho 737
kul keren 488
kul kul 488
kul parah 650
parah lho 1138
parah keren 737
parah kul 737
parah parah 976
N 22
lho lho 2612
lho keren 1713
lho kul 1713
lho parah 2276
keren lho 2851
keren keren 1875
keren kul 1875
keren parah 2450
kul lho 1138
kul keren 737
kul kul 737
kul parah 976
parah lho 1713
parah keren 1138
parah kul 1138
parah parah 1474
N 23
lho lho 3989
lho keren 2612
lho kul 2612
lho parah 3426
keren lho 4325
keren keren 2851
keren kul 2851
keren parah 3750
kul lho 1713
kul keren 1138
kul kul 1138
kul parah 1474
parah lho 2612
parah keren 1713
parah kul 1713
parah parah 2276
N 24
lho lho 6038
lho keren 3989
lho kul 3989
lho parah 5224
keren lho 6601
keren keren 4325
keren kul 4325
keren parah 5702
kul lho 2612
kul keren 1713
kul kul 1713
kul parah 2276
parah lho 3989
parah keren 2612
parah kul 2612
parah parah 3426
N 25
lho lho 9213
lho keren 6038
lho kul 6038
lho parah 7978
keren lho 10027
keren keren 6601
keren kul 6601
keren parah 8650
kul lho 3989
kul keren 2612
kul kul 2612
kul parah 3426
parah lho 6038
parah keren 3989
parah kul 3989
parah parah 5224
N 26
lho lho 14016
lho keren 9213
lho kul 9213
lho parah 12076
keren lho 15251
keren keren 10027
keren kul 10027
keren parah 13202
kul lho 6038
kul keren 3989
kul kul 3989
kul parah 5224
parah lho 9213
parah keren 6038
parah kul 6038
parah parah 7978
N 27
lho lho 21289
lho keren 14016
lho kul 14016
lho parah 18426
keren lho 23229
keren keren 15251
keren kul 15251
keren parah 20054
kul lho 9213
kul keren 6038
kul kul 6038
kul parah 7978
parah lho 14016
parah keren 9213
parah kul 9213
parah parah 12076
N 28
lho lho 32442
lho keren 21289
lho kul 21289
lho parah 28032
keren lho 35305
keren keren 23229
keren kul 23229
keren parah 30502
kul lho 14016
kul keren 9213
kul kul 9213
kul parah 12076
parah lho 21289
parah keren 14016
parah kul 14016
parah parah 18426
N 29
lho lho 49321
lho keren 32442
lho kul 32442
lho parah 42578
keren lho 53731
keren keren 35305
keren kul 35305
keren parah 46458
kul lho 21289
kul keren 14016
kul kul 14016
kul parah 18426
parah lho 32442
parah keren 21289
parah kul 21289
parah parah 28032
